FATM,z.64,z.125,z.250,z.500,z.1000,z.2000,r.64,r.125,r.250,r.500,r.1000,r.2000
DHA:EPA,0.82 **,0.77 *,0.76 *,-0.14,0.43,0.7,0.82,0.77,0.76,-0.14,0.43,0.7
18:1n-9 / 18:1n-7,-0.89 **,0.73 *,0.1,0.14,0.68,-0.9 *,-0.89,0.73,0.1,0.14,0.68,-0.9
%SFA,0.33,0.75,0.64,0.18,-0.32,0.5,0.33,0.75,0.64,0.18,-0.32,0.5
SFA/PUFA,0.17,0.6,0.81 *,0.14,0.36,0.3,0.17,0.6,0.81,0.14,0.36,0.3
PUFA/SFA,-0.14,-0.6 *,-0.81 **,-0.14,-0.21,-0.3,-0.14,-0.6,-0.81,-0.14,-0.21,-0.3
