FATM,z.64,z.125,z.250,z.500,z.1000,z.2000,r.64,r.125,r.250,r.500,r.1000,r.2000
?13C ,0.81 **,0.8 **,0.64 *,0.55,0.52,0.67 *,0.81,0.8,0.64,0.55,0.52,0.67
ALA (18:3w3),0.6 *,0.33,0.59 *,0.39,0.09,0.02,0.6,0.33,0.59,0.39,0.09,0.02
SDA (18:4w4),0.1,0.68 **,0.34,0.28,-0.1,-0.02,0.1,0.68,0.34,0.28,-0.1,-0.02
C16 PUFAs ,0.65 **,0.16,0.48,0.08,-0.12,0.74 **,0.65,0.16,0.48,0.08,-0.12,0.74
EPA,0.26,0.1,-0.01,0.64 **,-0.01,0.19,0.26,0.1,-0.01,0.64,-0.01,0.19
DHA,0.15,0.31,0.72 **,0.69 **,0.22,-0.1,0.15,0.31,0.72,0.69,0.22,-0.1
18:1w7,-0.44,0.44,0.18,0.54 *,0.27,-0.05,-0.44,0.44,0.18,0.54,0.27,-0.05
