"Date","line_out_depth","chl_20um","chl_GF.F","chl_3um","chl_Bulk.GF.F","phaeo_20um","phaeo_GF.F","phaeo_3um","phaeo_Bulk.GF.F","phaeo.chla","SumChl"
2015-09-22,2.5,0.0575851635,0.8866900625,0.3192219255,1.8223916085,0.10971967,0.5764081485,0.1805965515,0.772528359,0.423909084851342,1.2634971515
2015-09-28,2.5,0.286713559,0.3610350735,0.4608532565,1.775649405,0.215778051,0.560569632,0.315413702,0.549291936,0.309347067305778,1.108601889
2015-10-06,2.5,2.725441455,0.8076286625,0.438705935,5.1275243165,0.6003430615,0.4216829565,0.227072085,1.0838556905,0.211379922082911,3.9717760525
2015-10-14,2.5,0.1041308535,0.2259922765,0.12190726,0.4072857395,0.1181438695,0.161463815,0.095383182,0.3390933175,0.832568598930776,0.45203039
2015-10-20,2.5,0.058402621,0.4354348395,0.125207478,0.489774231,0.082447494,0.224890199,0.093202966,0.227688711,0.464885035978955,0.6190449385
2015-10-27,2.5,0.3017716915,0.4626973475,0.372497457,1.1515860175,0.1834113765,0.2518749655,0.185587056,0.446428599,0.387664136430868,1.136966496
2015-11-03,2.5,0.517105367,0.098807757,0.095929436,0.9242335915,0.253744013,0.1367381125,0.1254968155,0.439688686,0.475733288687766,0.71184256
2015-11-10,2.5,0.111962794,0.307076048,0.208283485,0.640602211,0.087740291,0.189365652,0.0796580635,0.2510729225,0.391932650541539,0.627322327
2015-11-18,2.5,0.0724328535,0.1262113195,0.136274048,0.3319322735,0.1307667665,0.210084957,0.161044895,0.4197605275,1.26459691030917,0.334918221
2015-11-25,2.5,0.048273037,0.1486713925,0.099868578,0.36577268,0.1048068185,0.2072142535,0.1468634245,0.3449980285,0.943203381127316,0.2968130075
2015-12-11,2.5,0.027276436,0.0583927445,0.0178343985,0.1144301075,0.1123506875,0.154019284,0.1505912845,0.300698612,2.62779279482893,0.103503579
2015-12-16,2.5,0.1828465815,0.1192690095,0.0266516945,0.151797635,0.135173602,0.1192992735,0.062503974,0.1960183025,1.29131328363581,0.3287672855
2016-01-05,2.5,0.033080941,0.1618360525,0.1383263015,0.365712156,0.108431486,0.346183748,0.1148386,0.3990903635,1.09126906763252,0.333243295
2016-01-13,2.5,0.0314050015,0.202240429,0.1176214325,0.3662133165,0.0589115305,0.19043963,0.1024747735,0.336535112,0.918959242706839,0.351266863
2016-01-19,2.5,0.054234044,0.1787587875,0.125721301,0.3300395605,0.0722150975,0.1965429415,0.1119046695,0.327168883,0.991302019989207,0.3587141325
2016-01-28,2.5,0.053383412,0.1372016645,0.137566836,0.3577644845,0.11024364,0.2194694395,0.149900084,0.452098648,1.26367671355595,0.3281519125
2016-02-02,2.5,0.105566975,0.341806338,0.354645079,0.846693908,0.0820572955,0.209321863,0.12454906,0.3203564575,0.378361594990949,0.802018392
2016-02-09,2.5,0.079487096,0.2905210165,0.2165841725,0.5861237915,0.112070395,0.2108500835,0.1640397695,0.3602786665,0.61468016095709,0.586592285
2016-02-16,2.5,0.0566907215,0.1671624405,0.1503068135,0.4316866405,0.118936041,0.155666198,0.144929318,0.3304429155,0.765469404189264,0.3741599755
2016-02-23,2.5,0.0896313675,0.183244927,0.132470136,0.4338072685,0.0913230285,0.2020001255,0.106297857,0.280899709,0.647521905225984,0.4053464305
2016-03-15,2.5,0.1754565435,0.1282909235,0.204303319,0.443716534,0.1739311575,0.1858920835,0.1363156045,0.477010735,1.07503484420529,0.508050786
2016-03-22,2.5,0.4730558595,0.3379274675,0.532846993,1.0637485995,0.369482815,0.213395023,0.276161062,0.591454907,0.556010045303942,1.34383032
2016-03-29,2.5,1.08125404,0.103311623,0.185924202,1.4270359865,0.460961696,0.125908401,0.133495137,0.540500287,0.378757292817577,1.370489865
2016-04-01,5,14.48201346,0.122157207,0.619578514,18.97804941,3.765032962,0.095090718,0.214090427,4.717933591,0.248599499826047,15.223749181
2016-04-04,2.5,3.8255220855,0.17218798,0.215079423,NA,1.718692603,0.195568809,0.142058179,NA,NA,4.2127894885
2016-04-14,2.5,8.088180527,0.01,0.2445248565,7.6681892515,1.6732251595,NA,0.1798430355,2.439209405,0.318094575524836,8.3427053835
2016-04-28,2.5,2.5578150795,0.437299949,0.615699643,3.9424982635,0.5015042535,0.2602057105,0.2207032415,1.6796112975,0.42602714959953,3.6108146715
2016-05-09,2.5,6.50251568,0.1018911855,0.746208152,11.055206925,4.6610032645,0.151831387,0.339022223,3.70078252,0.334754703833823,7.3506150175
2016-05-19,2.5,0.650059332,0.1041807455,0.1127099625,0.800255695,0.4186752855,0.117475485,0.0960988055,0.4374188785,0.54659889486947,0.86695004
2016-05-30,2.5,0.4414508425,0.107466769,0.129528925,0.73969562,0.33254024,0.3681301515,0.082977575,0.551669216,0.745805708569695,0.6784465365
